date,open,high,low,close,volume,average,barCount
2024-09-09,142.3695,143.8,141.9545,143.181,-1.0,-1.0,-1
2024-09-10,143.1525,143.7105,142.195,142.451,-1.0,-1.0,-1
2024-09-11,142.3925,142.5505,140.71,142.362,-1.0,-1.0,-1
2024-09-12,142.314,143.046,141.726,141.813,-1.0,-1.0,-1
2024-09-13,141.8225,141.879,140.2815,140.8295,-1.0,-1.0,-1
2024-09-16,140.8275,140.9385,139.5795,140.6155,-1.0,-1.0,-1
2024-09-17,140.6415,142.4645,140.323,142.4,-1.0,-1.0,-1
2024-09-18,142.3945,142.7165,140.4415,142.286,-1.0,-1.0,-1
2024-09-19,142.2125,143.948,141.8825,142.625,-1.0,-1.0,-1
2024-09-20,142.592,144.4945,141.741,143.819,-1.0,-1.0,-1
2024-09-23,143.9,144.46,143.166,143.615,-1.0,-1.0,-1
2024-09-24,143.5475,144.68,143.113,143.2255,-1.0,-1.0,-1
2024-09-25,143.195,144.8435,142.8905,144.7565,-1.0,-1.0,-1
2024-09-26,144.7375,145.2145,144.109,144.8125,-1.0,-1.0,-1
2024-09-27,144.8255,146.498,142.07,142.197,-1.0,-1.0,-1
2024-09-30,142.283,143.9185,141.6465,143.6345,-1.0,-1.0,-1
2024-10-01,143.595,144.5315,142.972,143.5645,-1.0,-1.0,-1
2024-10-02,143.59,146.5205,143.4265,146.4655,-1.0,-1.0,-1
2024-10-03,146.376,147.2445,146.2855,146.9355,-1.0,-1.0,-1
2024-10-04,146.8495,149.0065,145.9185,148.7065,-1.0,-1.0,-1
2024-10-07,148.7025,149.1345,147.843,148.184,-1.0,-1.0,-1
2024-10-08,148.153,148.381,147.3435,148.196,-1.0,-1.0,-1
2024-10-09,148.22,149.3655,148.013,149.304,-1.0,-1.0,-1
2024-10-10,149.21,149.6035,148.25,148.569,-1.0,-1.0,-1
2024-10-11,148.54,149.2855,148.406,149.148,-1.0,-1.0,-1
2024-10-14,149.075,149.9795,149.067,149.7575,-1.0,-1.0,-1
2024-10-15,149.825,149.839,148.849,149.2015,-1.0,-1.0,-1
2024-10-16,149.2025,149.807,148.8665,149.6355,-1.0,-1.0,-1
2024-10-17,149.588,150.323,149.2425,150.2075,-1.0,-1.0,-1
2024-10-18,150.17,150.288,149.3655,149.531,-1.0,-1.0,-1
